drug_code,interactions
67100659,66286011;63173930;61143618;68053454;65980246;69087107;68601712;67377300;61986853;68728154;61266250;69641873;67088865;61876780;68401067;64941258;60599533;61104024;67100659;65198099;69155138;67119257;63686057;67515484;69205527;63152345
63964962,64285537;67813445;66286011;61823354;69364999;63173930;65545105;60628554;61871331;63594630;62869109;65310242;64061788;67716786;61540502;68601712;62448875;64512668;68352264;63964962;69831794;69641873;61266250;61876780;67088865;68401067;65329132;60599533;67831952;69584479;65198099;66188581;63941294;68066715;67656403;62701346;69622809;67657035;67119257;68712716;69205527;60894334;64920036;61278936
61129497,61266250;69641873;60372215;65329132;67119257;68393478;61129497
64198541,67813445;66286011;66004451;63173930;61760943;62079905;67397826;61975465;60244525;68053454;65394660;68601712;62448875;67405194;64198541;67104999;69641873;61266250;67661585;61876780;65812106;68401067;60390455;61104024;60457719;69584479;65198099;63941294;69155138;69491847;67119257;69205527;64920036;65449480;63152345
60628554,64224801;66286011;68056062;61823354;65967124;64647032;60812344;63173930;60628554;61871331;66004451;61186345;61143618;66793609;67713249;62869109;67627711;63930084;66921927;68053454;61564058;66454128;65980246;69087107;68743715;68352264;61989835;61986853;64871233;69831794;61266250;61876780;67088865;65476666;68401067;67351558;65329132;60599533;69584479;65135519;65198099;63941294;69155138;66500636;65000980;60323481;66052179;67734275;67119257;66362555;69205527;60894334;64920036;69152302
60568235,66661714;68320252;65967124;63173930;67119257;69584479
67477432,67813445;61823354;65967124;60196977;63173930;66004451;64530919;67477432;61278936;67627711;67716786;61540502;69205527;63076463;66578108;61266250;61876780;69641873;60357359;66799366;67831952;63744998;69584479;63941294;66513085;69155138;67656403;67734275;67119257;68712716;66362555;64623818;60894334;61797183
69697199,66661714;69641873;66004451;63173930;60372215;65329132;69697199
67971897,67813445;61823354;65967124;63173930;66004451;61143618;65980246;61540502;68601712;62448875;67405194;66835549;68352264;69966450;69641873;67088865;61266250;61876780;67971897;65329132;60599533;69584479;65919752;61471344;60377116;63941294;67119257;68712716;69205527;63873893;68708664;61278936
60110896,67813445;67978055;69155138;69641873;66362555;63775716;63173930;67119257;68257528;62448875;60110896;69584479
61854766,67813445;66286011;61823354;68056062;63173930;61871331;66004451;68514951;69103878;63594630;62869109;64210260;63784708;64447081;62448875;66706942;68743715;61854766;68352264;61989835;69641873;61266250;61876780;68401067;65329132;64941258;60599533;61104024;67831952;63909873;64983766;69584479;65135519;61675902;65198099;63374716;69155138;66513085;67119257;69205527;61278936;63152345
67105161,67813445;66286011;61823354;63173930;62869109;67105161;61740691;69536826;62448875;62368639;62160702;69831794;61266250;69641873;65476666;68401067;65329132;64941258;60599533;65512856;63744998;60030980;69584479;65198099;62701346;67119257;63686057;61214830;68712716;69205527
65502762,67813445;66286011;61823354;66004451;63173930;65484054;67713249;67716786;68601712;62448875;69784280;68352264;65502762;68320252;69641873;68401067;65329132;60390455;60599533;67656403;67119257;69205527
69854405,66286011;67813445;61823354;66004451;63173930;69468186;69784280;69854405;62448875;68743715;68352264;64980414;61266250;69641873;68401067;60599533;61792923;69584479;67119257
64285537,64285537;66286011;64224801;61823354;65967124;67813445;60812344;63173930;66004451;64493890;69103878;63594630;62869109;60549911;63930084;64210260;68053454;65980246;64447081;69205527;62448875;68601712;61989835;62160702;61266250;62187806;65476666;61876780;67088865;68401067;65329132;60599533;61816438;67831952;65812914;69584479;65135519;60521926;66500636;65198099;60153239;63941294;66362555;65000980;68080800;67119257;67734275;68712716;63305905;68341392;60894334;64920036;61278936
