drug_code,interactions
68728154,66286011;67813445;61823354;67888889;69364999;63173930;62538618;66793609;67713249;63644827;61975465;68053454;69087107;65535851;62448875;61094142;68743715;67377300;68728154;69641873;61266250;65812106;61954108;68401067;65329132;67971897;60599533;69584479;67856966;65198099;69998003;62779793;67119257;63305905;61278936
67527248,64224801;66286011;68056062;61823354;67813445;63173930;61143618;66793609;69103878;63594630;67527248;60099738;65231841;62869109;65340488;67397826;63930084;64210260;69536826;63558577;63784708;69784280;62448875;68352264;62160702;61070419;66661714;61174492;62403531;69641873;67088865;65476666;60568235;61266250;61876780;68401067;62679978;60357359;65329132;60599533;60010166;61816438;61792923;63744998;67699931;62672834;69584479;61675902;65198099;67119257;68712716;69205527;64920036;61278936;69152302
60568235,60568235
62262276,63020144;64224801;66286011;62262276;61823354;65967124;67813445;68056062;63173930;68097237;66793609;67468312;63594630;62869109;61278936;67627711;62448875;61066196;68352264;66578108;61986853;69641873;61266250;65476666;60568235;61876780;68401067;65329132;64941258;60599533;67831952;64275824;62672834;69584479;65198099;63941294;69155138;64457570;67119257;68393478;68255655;68712716;69205527;66782153
67627711,61124589;66286011;61823354;69594548;69641873;63173930;61540502;65329132;67119257;63058682;62448875;68045361;61278936;67627711
68743715,64285537;66286011;67813445;61823354;63173930;60628554;62448875;68743715;67377300;69641873;61266250;68401067;65329132;64941258;69584479;66500636;69155138;67734275;67119257;63686057;60894334
60457719,64224801;67813445;66286011;61823354;68056062;64876209;64493890;63173930;66004451;65967124;68097237;62991472;69103878;63594630;62459156;62869109;64210260;62505828;66921927;68053454;63784708;68601712;62448875;61066196;68352264;66578108;62160702;62403531;61266250;69641873;61876780;67088865;68401067;60357359;65329132;60005856;64941258;60599533;61816438;67831952;60596010;60457719;69584479;61675902;65198099;63941294;69155138;66513085;68080800;67119257;63686057;68712716;69205527;64920036;61278936
65245613,66286011;61823354;66004451;63173930;61540502;62448875;68352264;61989835;66661714;69641873;61266250;61954108;68401067;65245613;65329132;63031888;60599533;69584479;65919752;67734275;67119257;69205527;61278936
68748491,66286011;64623818;61823354;69594548;63173930;66004451;66793609;67627711;62158320;60244525;69536826;65980246;61540502;65378663;69784280;65461618;61124589;69355498;61266250;61876780;60568235;67423452;68401067;66246173;60599533;60010166;61104024;64201553;68748491;69584479;65135519;63941294;69155138;66513085;68080800;67119257;68712716;66362555;69205527;68045361
66148697,66286011;61823354;69594548;63173930;66004451;66793609;67627711;65980246;61540502;62448875;68352264;69641873;67088865;60568235;68401067;66246173;65329132;60599533;61104024;69584479;66513085;66148697;68080800;67119257;66362555;69205527;68045361;61278936
65449480,63020144;63173930;61871331;66793609;67627711;67716786;69536826;64757532;68601712;61989835;69968095;61266250;61876780;63058682;60390455;63744998;69584479;67119257;66362555;69205527;65449480
68045361,69355498;66286011;62158320;67627711;69536826;66004451;63173930;61266250;67423452;68401067;61540502;67119257;66793609;60010166;65461618;64623818;68045361;69584479
63173930,66286011;63173930;60628554;63594630;64098181;66661714;64771724;69641873;61266250;60568235;68401067;60357359;69584479;66500636;65198099;67119257;67734275;68393478;69205527;60894334
67627711,61823354;66004451;63173930;68514951;67627711;67716786;64757532;62448875;68320252;69641873;61266250;62075038;65812106;65329132;60599533;69584479;65919752;69155138;66513085;67119257;69205527;61278936
60123363,65135519;67716786;60123363;61823354;69641873;63173930;61876780;61540502;65329132;67119257;67734275;60894334;65026434
60568235,67813445;66286011;61823354;63173930;63594630;67716786;69536826;62448875;68352264;69641873;61876780;61266250;60568235;68401067;65329132;60599533;69584479;63941294;68066715;67119257;64920036;61278936
